Wellbore,Report Creation Time,Start Time,End Time,End Depth mMD,Main - Sub Activity,State,Remark
15_919A1997,2018-05-03 13:53,09:00,13:30,0.0,drilling -- trip,fail,"FLOWCHECKED, PUMPED SLUG & POOH WITH MILLING BHA."
15_919A1997,2018-05-03 13:53,23:00,00:00,3820.0,formation evaluation -- trip,ok,BROKE CORE ON 3RD ATTEMPT HOLDING 16T OVER PULL. PUMPED AND ROTATED SLOWLY WHILE PULLING BACK TO 3820M.
15_919A1997,2018-05-03 13:53,21:00,00:00,450.0,plug abandon -- trip,ok,"LAID DOWN 3 1/2"" DP."
15_919A1997,2018-05-03 13:53,19:00,21:00,1387.0,plug abandon -- trip,ok,PUMPED SLUG AND POOH TO 1387M.
15_919A1997,2018-05-03 13:53,15:30,16:00,2205.0,plug abandon -- trip,ok,POOH TO 2205M.
15_919A1997,2018-05-03 13:53,13:00,13:30,2325.0,plug abandon -- trip,ok,POOH TO 2325M. MADE UP CMT STAND W/VALVES AND CMT LINE.
15_919A1997,2018-05-03 13:53,09:00,10:00,2425.0,plug abandon -- trip,ok,CONTINUED RIH TO 2425M. WASHED SECTION FROM 2205M TO 2275M PRIOR TO SET CMT PLUG.
15_919A1997,2018-05-03 13:53,06:00,09:00,2210.0,plug abandon -- trip,ok,CONTINUED CIRCULATION THROUG OPEN CHOKE. GAS READING DECLINED TO 9% OPENED WELL AND CIRC LONG WAY UNTIL GAS STABILIZED AGAIN
15_919A1997,2018-05-03 13:53,04:30,06:00,2210.0,plug abandon -- trip,ok,"FLOW CHECKED WELL, STATIC CONDITION. START CIRC 10 MIN AND GOT 38% GAS IN RETURNS. CLOSE ANNULAR AND INVESTIGATED FROZEN DP PRE"
15_919A1997,2018-05-03 13:53,06:00,10:00,2170.0,drilling -- trip,ok,COMPLETED TIH WITH WHIPSTOCK TO 2170 M.
15_919A1997,2018-05-03 13:53,00:00,06:00,0.0,interruption -- other,ok,OPERATIONS SUSPENDED DUE TO OFS STRIKE.
15_919A1997,2018-05-03 13:53,12:30,15:00,3758.0,interruption -- repair,fail,SSTT WOULDN'T RE-LATCH DURING FUNCTION TEST. LD SSTT & PU BACK-UP SSTT.
15_919A1997,2018-05-03 13:53,00:00,06:00,0.0,interruption -- other,ok,OPERATIONS SUSPENDED DUE TO OFS STRIKE.
15_919A1997,2018-05-03 13:53,00:00,06:00,0.0,interruption -- other,ok,OPERATIONS SUSPENDED DUE TO OFS STRIKE.
15_919A1997,2018-05-03 13:53,00:00,06:00,0.0,interruption -- other,ok,OPERATIONS SUSPENDED DUE TO OFS STRIKE.
15_919A1997,2018-05-03 13:53,20:00,00:00,2711.0,drilling -- drill,ok,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2653 - 2711 M"
15_919A1997,2018-05-03 13:53,06:00,19:00,2653.0,drilling -- drill,ok,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2405-2653 M."
15_919A1997,2018-05-03 13:53,00:00,06:00,2405.0,drilling -- drill,ok,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2311 - 2405 M"
15_919A1997,2018-05-03 13:53,00:00,06:00,170.0,drilling -- trip,ok,"CONTINUED POOH WITH 3 1/2"" DP TO 170 M."
15_919A1997,2018-05-03 13:53,06:00,06:30,0.0,drilling -- trip,ok,"POOH FROM 170 M WITH 3 1/2"" DP."
15_919A1997,2018-05-03 13:53,06:30,09:00,0.0,interruption -- repair,fail,"RIH WITH 4 STDS OF 3 1/2"" DP BELOW BOP TEST TOOL. OD ON XO SUB BELOW TEST TOOL WAS TOO BIG TO ENTER 7"" CSG. TEST PLUG"
15_919A1997,2018-05-03 13:53,09:00,11:00,0.0,drilling -- bop activities,ok,"UNSCREWED EXTENSION SUB FROM BOP TEST TOOL. PU 9JTS X 5"" HWDP FROM DECK. RIH AND SEATED BOP TEST TOOL."
15_919A1997,2018-05-03 13:53,21:00,23:00,3935.0,formation evaluation -- core,ok,"CUT CORE NO 4 FROM 3908,5 TO 3935,5M. MAX GAS FROM CORING 9%."
15_919A1997,2018-05-03 13:53,17:30,18:30,3908.0,formation evaluation -- trip,ok,"WASH AND ROTATE FROM 3820 TO BTM AT 3908,5M."
15_919A1997,2018-05-03 13:53,11:30,17:30,3820.0,formation evaluation -- trip,ok,RIH TO 3820M. BROKE CIRC EACH 1000M.
15_919A1997,2018-05-03 13:53,10:00,11:30,0.0,formation evaluation -- trip,ok,SERVICED CORE BARREL AND MADE UP COREBARREL WITH INNERBARREL.
15_919A1997,2018-05-03 13:53,18:00,00:00,2311.0,drilling -- drill,ok,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2202 - 2311 M."
